"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1980",33,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1981",40,"E"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1982",48,"E"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1983",55,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1984",62,"E"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1985",68,"E"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1986",75,"E"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1987",81,"E"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1988",88,"E"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1989",93,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1990",95,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1991",93,"E"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1992",91,"E"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1993",90,"E"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1994",88,"E"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1995",86,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1996",86,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1997",77,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1998",82,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","1999",88,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2000",90,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2001",92,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2002",92,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2003",93,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2004",92,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2005",92,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2006",92,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2007",92,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2008",92,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2009",92,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2010",92,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2011",92,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2012",92,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2013",91,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2014",92,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2015",93,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2016",94,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2017",95,
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2018",95,
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","1983",68,
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","1984",68,"E"
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","1985",68,
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","1986",68,"E"
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","1987",68,
"AUS","CHILDVACCIN","MEASLES","PC_CHILD","A","1988",77,"E"
