CB2018_name,Not Vaccinated,Vaccinated,Kids,Rate
Henderson-Massey Local Board,241,1609,1850,13.027027027027028
Hibiscus and Bays Local Board,202,1052,1254,16.108452950558213
Manurewa Local Board,180,1410,1590,11.320754716981133
Mangere-Otahuhu Local Board,168,1261,1429,11.756473058082575
Howick Local Board,165,1800,1965,8.396946564885496
Otara-Papatoetoe Local Board,163,1384,1547,10.536522301228183
Rodney Local Board,163,720,883,18.459796149490373
Whau Local Board,157,923,1080,14.537037037037038
Waitakere Ranges Local Board,154,909,1063,14.487300094073378
Kaipatiki Local Board,140,877,1017,13.76597836774828
Upper Harbour Local Board,140,919,1059,13.220018885741267
Franklin Local Board,138,905,1043,13.231064237775648
Papakura Local Board,137,849,986,13.894523326572008
Albert-Eden Local Board,135,972,1107,12.195121951219512
Waitemata Local Board,134,509,643,20.839813374805598
Maungakiekie-Tamaki Local Board,132,990,1122,11.76470588235294
Puketapapa Local Board,104,744,848,12.264150943396226
Orakei Local Board,94,753,847,11.097992916174734
Devonport-Takapuna Local Board,74,557,631,11.727416798732172
Waiheke Local Board,21,63,84,25
