CAU_2013	CAU_name_2013	CAU_average_NZDep2013	CAU_average_NZDep_score_2013
500100	Awanui	9	1100
500202	Karikari Peninsula-Maungataniwha	9	1085
500203	Taipa Bay-Mangonui	9	1065
500204	Herekino	8	1054
500205	Ahipara	9	1088
500206	North Cape	10	1172
500207	Houhora	9	1064
500208	Motutangi-Kareponia	8	1039
500301	Kaitaia West	10	1194
500302	Kaitaia East	10	1189
500401	Kaeo	10	1170
500402	Mangapa-Matauri Bay	9	1073
500500	Kohukohu	10	1157
500600	Rawene	10	1229
500700	Omapere and Opononi	10	1220
500801	Hokianga North	10	1174
500802	Hokianga South	10	1190
500900	Kerikeri	7	1007
501000	Russell	6	985
501100	Paihia	8	1032
501200	Haruru Falls	7	1016
501300	Opua East	5	972
501400	Kawakawa	10	1174
501500	Moerewa	10	1195
501612	Opua West	5	966
501614	Kapiro	5	963
501615	Waitangi	6	988
501620	Pokere-Waihaha	9	1064
501631	Okaihau	9	1081
501632	Ohaeawai	8	1026
501633	Waihou Valley-Hupara	5	969
501634	Ngapuhi-Kaikou	10	1137
501700	Kaikohe	10	1237
501802	Opouteke-Tanekaha	4	959
501806	Marsden Point-Ruakaka	8	1040
501807	Ngunguru	5	961
501809	Wharekohe-Oakleigh	4	945
501810	Maungatapere	3	935
501811	Waiotira-Springfield	6	988
501814	Punaruku-Kiripaka	7	1004
501815	Bream Bay	5	969
501816	Waipu	6	989
501817	Pataua-Whareora	4	948
501818	Parua Bay	3	936
501819	Bream Head	4	957
502001	Springs Flat	5	972
502002	Three Mile Bush	3	930
502003	Te Hihi	2	917
502004	Abbey Caves	1	899
502005	Otaika-Portland	6	982
502101	Kamo West	6	985
502102	Kamo East	9	1066
502201	Tikipunga West	10	1136
502202	Tikipunga East	9	1062
502300	Whau Valley	8	1054
502400	Otangarei	10	1338
502500	Western Hills	4	957
502600	Kensington	8	1050
502700	Mairtown	8	1053
502800	Regent	9	1075
502900	Woodhill	9	1073
503000	Vinetown	10	1150
503100	Whangarei Central	10	1136
503200	Riverside	7	1020
503300	Horahora	7	1004
503400	Maunu	4	949
503500	Raumanga East	10	1213
503600	Morningside	9	1088
503700	Parahaki	5	967
503800	Raumanga West	10	1169
503900	Port-Limeburners	10	1187
504000	Sherwood Rise	8	1040
504100	Onerahi	9	1067
504300	Hikurangi	10	1110
504400	Te Kopuru	10	1197
504501	Kaipara Coastal	7	1022
504502	Maungaru	6	985
504600	Dargaville	9	1088
504700	Maungaturoto	6	984
504800	Ruawai	10	1126
504900	Kaiwaka	9	1062
505010	Rehia-Oneriri	7	1019
505021	Mangawhai	7	1001
505022	Mangawhai Heads	7	999
505300	Wellsford	9	1084
505400	Leigh	6	990
505500	Warkworth	6	986
505601	Waimauku	1	898
505602	Huapai	4	943
505603	Riverhead Urban	3	939
505604	Kumeu East	3	929
505605	Kumeu West	2	919
505700	Waipareira West	3	928
505803	Waiwera	6	997
505804	Hatfields Beach	4	953
505805	Orewa	5	973
505806	Silverdale Central	1	887
505807	Red Beach West	4	954
505808	Red Beach East	3	930
505902	Manly	5	960
505904	Army Bay	3	931
505906	Vipond	3	935
505907	Stanmore Bay West	5	972
505908	Stanmore Bay East	6	985
505909	Wade Heads	3	940
505910	Gulf Harbour	3	941
506001	Weiti River	5	971
506002	Stillwater	2	926
506003	Silverdale South	1	909
506201	Silverdale North	4	957
506202	Orewa West	1	902
506300	Dairy Flat-Redvale	1	910
506400	Paremoremo West	2	917
506613	Tauhoa-Puhoi	4	955
506614	Tahekeroa	2	919
506616	Matheson Bay	7	1005
506631	Snells Beach	6	977
506633	Algies Bay	5	972
506634	Mahurangi	4	946
506642	South Head	6	986
506644	Parakai Rural	6	979
506645	Parakai Urban	9	1097
506646	Kaukapakapa Rural	3	929
506647	Kaukapakapa	3	933
506648	Helensville South	2	918
506652	Rewiti	2	927
506653	Riverhead	1	903
506654	Muriwai Beach	2	915
506655	Muriwai Valley	2	921
506656	Waitakere West	2	920
506657	Point Wells	2	924
506658	Omaha	3	936
506659	Matakana	6	977
506660	Cape Rodney	6	987
506661	Cape Rodney South	3	937
506800	Helensville	7	1014
506901	Awaruku	2	914
506902	Glamorgan	2	920
506903	Torbay	2	917
507000	Waiake	1	907
507101	Browns Bay	3	935
507102	Oaktree	2	923
507200	Rothesay Bay	2	915
507300	Murrays Bay	1	902
507400	Mairangi Bay	1	906
507500	Campbells Bay	1	888
507710	Castor Bay	1	896
507720	Crown Hill	2	912
507800	Lake Pupuke	3	934
507900	Westlake	5	967
508010	Takapuna Central	3	943
508020	Hauraki	2	918
508110	Seacliffe	4	945
508120	Bayswater	3	936
508210	Kaipatiki	5	962
508220	Windy Ridge	5	961
508310	Glenfield Central	5	961
508320	Glenfield North	5	970
508411	Glendhu	4	954
508412	Witheford	4	949
508420	Target Road	5	970
508510	Forrest Hill	4	945
508520	Sunnynook	4	956
508610	Monarch Park	2	921
508620	Sunnybrae	4	957
508701	Albany	4	950
508703	Fairview	2	915
508704	Northcross	4	958
508803	Unsworth Heights	3	941
508804	Pinehill	3	937
508805	Windsor Park	3	932
508806	North Harbour West	2	923
508807	North Harbour East	4	947
508900	Long Bay	1	901
509000	Paremoremo East	2	927
509100	Greenhithe	1	895
509300	Narrow Neck	2	920
509400	Mt Victoria	2	912
509500	Stanley Bay	1	897
509701	Ocean View	5	963
509702	Tuff Crater	8	1052
509800	Northcote South	2	922
510010	Beachhaven North	6	987
510020	Beachhaven South	5	966
510210	Birkdale North	6	983
510220	Birkdale South	5	961
510401	Kauri Park	3	929
510402	Chelsea	1	910
510500	Birkenhead East	2	919
510700	Henderson North	8	1033
510800	Henderson South	9	1080
511001	Tangutu	7	1020
511002	Woodglen	7	1014
511100	Glen Eden East	8	1029
511301	New Lynn North	8	1050
511302	New Lynn South	8	1027
511303	Lynnmall	9	1072
511401	Fruitvale	7	1022
511402	Rewarewa	7	1000
511601	Glendene North	8	1030
511602	Glendene South	8	1026
511700	Kelston Central	9	1074
511800	Sunnyvale	7	1014
511901	Kaurilands	3	934
511902	Crum Park	3	930
512000	Titirangi South	1	897
512100	Green Bay	4	946
512201	Matipo	6	993
512202	Durham Green	6	982
512300	Te Atatu Central	6	976
512401	Edmonton	7	1013
512402	Wakeling	5	972
512500	Mcleod	7	1007
512600	Konini	2	927
512700	Waima	1	893
512801	Laingholm	2	918
512802	Armour Bay	3	929
512902	Otimai	1	904
512903	Parrs Park West	9	1074
512904	Parrs Park	9	1101
512905	Oratia West	7	1011
512906	Oratia	8	1045
513011	Henderson West	3	940
513012	Palm Heights	6	984
513013	McLaren Park	9	1075
513020	Opanuku	3	930
513101	Swanson	6	997
513102	Swanson South	2	919
513211	Urlich	9	1102
513212	Starling Park	9	1082
513213	Ranui Domain	10	1124
513214	Ranui South	9	1057
513220	Sturges North	4	956
513301	Kingdale	9	1074
513302	Fairdene	9	1062
513410	Whenuapai West	4	955
513420	Herald	1	905
513431	Hobsonville East	5	961
513432	Hobsonville South	1	903
513511	Westgate	6	998
513512	Royal Road West	7	1012
513521	West Harbour	8	1034
513522	Lucken Point	1	912
513530	Royal Heights	8	1026
513610	Massey West	7	1000
513621	Birdwood West	5	961
513622	Birdwood East	6	994
